Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","44","Colombie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","311789.874369","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","44","Colombie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","330227.869587","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","45","Comores","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1065.019333","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","45","Comores","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","1165.690421","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","46","Congo","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","10978.971299","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","46","Congo","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","14173.188324","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","58174.550212","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","60126.014829","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","107","Côte d'Ivoire","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","38147.836938","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","107","Côte d'Ivoire","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","43028.05723","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","98","Croatie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","55319.365464","X","Sources internationales sûres","Data from UNSD AMA"
