Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","106","Italie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","15621","","Donnée officielle"
"TA","Animaux vivants","106","Italie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","14317","","Donnée officielle"
"TA","Animaux vivants","110","Japon","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","12","","Donnée officielle"
"TA","Animaux vivants","112","Jordanie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","87","","Donnée officielle"
"TA","Animaux vivants","112","Jordanie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","103","","Donnée officielle"
"TA","Animaux vivants","108","Kazakhstan","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","17","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","108","Kazakhstan","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","22","","Donnée officielle"
"TA","Animaux vivants","114","Kenya","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","451","","Donnée officielle"
"TA","Animaux vivants","114","Kenya","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","304","","Donnée officielle"
"TA","Animaux vivants","118","Koweït","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","10","","Donnée officielle"
"TA","Animaux vivants","118","Koweït","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","9","","Donnée officielle"
"TA","Animaux vivants","119","Lettonie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1799","","Donnée officielle"
"TA","Animaux vivants","119","Lettonie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1995","","Donnée officielle"
"TA","Animaux vivants","121","Liban","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","3","","Donnée officielle"
"TA","Animaux vivants","121","Liban","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","0","","Donnée officielle"
"TA","Animaux vivants","126","Lituanie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","563","","Donnée officielle"
"TA","Animaux vivants","126","Lituanie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","2060","","Donnée officielle"
"TA","Animaux vivants","256","Luxembourg","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","55","","Donnée officielle"
