Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","101","Indonésie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","67","","Donnée officielle"
"TA","Animaux vivants","102","Iran (République islamique d')","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","9524","","Donnée officielle"
"TA","Animaux vivants","102","Iran (République islamique d')","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","1915","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","103","Iraq","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","570","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","103","Iraq","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","59","*","Chiffre non officiel"
"TA","Animaux vivants","104","Irlande","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","12208","","Donnée officielle"
"TA","Animaux vivants","104","Irlande","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","14478","","Donnée officielle"
"TA","Animaux vivants","105","Israël","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","32","","Donnée officielle"
"TA","Animaux vivants","106","Italie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","8492","","Donnée officielle"
"TA","Animaux vivants","106","Italie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","8597","","Donnée officielle"
"TA","Animaux vivants","110","Japon","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","7","","Donnée officielle"
"TA","Animaux vivants","112","Jordanie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1570","","Donnée officielle"
"TA","Animaux vivants","112","Jordanie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","2588","","Donnée officielle"
"TA","Animaux vivants","108","Kazakhstan","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","173","","Donnée officielle"
"TA","Animaux vivants","108","Kazakhstan","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","347","","Donnée officielle"
"TA","Animaux vivants","114","Kenya","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","764","","Donnée officielle"
"TA","Animaux vivants","114","Kenya","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","462","","Donnée officielle"
"TA","Animaux vivants","118","Koweït","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","90","","Donnée officielle"
"TA","Animaux vivants","118","Koweït","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","116","","Donnée officielle"
"TA","Animaux vivants","119","Lettonie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1202","","Donnée officielle"
"TA","Animaux vivants","119","Lettonie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","1766","","Donnée officielle"
"TA","Animaux vivants","121","Liban","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","0","","Donnée officielle"
"TA","Animaux vivants","121","Liban","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","0","","Donnée officielle"
"TA","Animaux vivants","126","Lituanie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","895","","Donnée officielle"
"TA","Animaux vivants","126","Lituanie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","2878","","Donnée officielle"
"TA","Animaux vivants","256","Luxembourg","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","370","","Donnée officielle"
"TA","Animaux vivants","256","Luxembourg","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","328","","Donnée officielle"
"TA","Animaux vivants","129","Madagascar","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","42","","Donnée officielle"
"TA","Animaux vivants","129","Madagascar","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","81","","Donnée officielle"
"TA","Animaux vivants","131","Malaisie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","143184","","Donnée officielle"
"TA","Animaux vivants","131","Malaisie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","158069","","Donnée officielle"
"TA","Animaux vivants","130","Malawi","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","109","","Donnée officielle"
"TA","Animaux vivants","133","Mali","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","2157","","Donnée officielle"
"TA","Animaux vivants","133","Mali","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","3","*","Chiffre non officiel"
"TA","Animaux vivants","143","Maroc","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","384","","Donnée officielle"
